year,state_po,candidate,party,candidatevotes,totalvotes,portionvotes
1976,AL,"Carter, Jimmy",democrat,659170,1182850,0.5572726888447394
1976,AL,"Ford, Gerald",republican,504070,1182850,0.42614870862746757
1976,AK,"Ford, Gerald",republican,71555,123574,0.5790457539611893
1976,AK,"Carter, Jimmy",democrat,44058,123574,0.3565313091750692
1976,AZ,"Ford, Gerald",republican,418642,742719,0.5636613577948053
1976,AZ,"Carter, Jimmy",democrat,295602,742719,0.39799978188251545
1976,AR,"Carter, Jimmy",democrat,498604,767535,0.6496172812966184
1976,AR,"Ford, Gerald",republican,267903,767535,0.3490433661005687
1976,CA,"Ford, Gerald",republican,3882244,7803770,0.4974831395594693
1976,CA,"Carter, Jimmy",democrat,3742284,7803770,0.47954821836112543
1976,CO,"Ford, Gerald",republican,584278,1081440,0.5402777777777777
1976,CO,"Carter, Jimmy",democrat,460801,1081440,0.4260994599792869
1976,CT,"Ford, Gerald",republican,719261,1386355,0.5188144450735923
1976,CT,"Carter, Jimmy",democrat,647895,1386355,0.46733700964038793
1976,DE,"Carter, Jimmy",democrat,122461,235642,0.5196908870235357
1976,DE,"Ford, Gerald",republican,109780,235642,0.46587620203529084
1976,DC,"Carter, Jimmy",democrat,137818,168830,0.8163122667772316
1976,DC,"Ford, Gerald",republican,27873,168830,0.16509506604276492
1976,FL,"Carter, Jimmy",democrat,1636000,3150631,0.5192610623078361
1976,FL,"Ford, Gerald",republican,1469531,3150631,0.46642434483758966
1976,GA,"Carter, Jimmy",democrat,979409,1463152,0.6693829485931742
1976,GA,"Ford, Gerald",republican,483743,1463152,0.3306170514068258
1976,HI,"Carter, Jimmy",democrat,147375,291301,0.5059199934088795
1976,HI,"Ford, Gerald",republican,140003,291301,0.48061283689379714
1976,ID,"Ford, Gerald",republican,204151,340932,0.5988026937923104
1976,ID,"Carter, Jimmy",democrat,126549,340932,0.37118545633733413
1976,IL,"Ford, Gerald",republican,2364269,4721282,0.5007684353529401
1976,IL,"Carter, Jimmy",democrat,2271295,4721282,0.48107590268914247
1976,IN,"Ford, Gerald",republican,1183958,2220362,0.5332274647107094
1976,IN,"Carter, Jimmy",democrat,1014714,2220362,0.45700385792947273
1976,IA,"Ford, Gerald",republican,632864,1279303,0.49469437654722925
1976,IA,"Carter, Jimmy",democrat,619931,1279303,0.48458496540694423
1976,KS,"Ford, Gerald",republican,502752,957845,0.5248782423043394
1976,KS,"Carter, Jimmy",democrat,430421,957845,0.44936393675385894
1976,KY,"Carter, Jimmy",democrat,615717,1167142,0.5275424926872652
1976,KY,"Ford, Gerald",republican,531852,1167142,0.45568748275702525
1976,LA,"Carter, Jimmy",democrat,661365,1277383,0.5177499622274604
1976,LA,"Ford, Gerald",republican,587446,1277383,0.45988243150253294
1976,ME,"Ford, Gerald",republican,236320,482968,0.489307780225605
1976,ME,"Carter, Jimmy",democrat,232279,482968,0.480940766261947
1976,MD,"Carter, Jimmy",democrat,759612,1432273,0.5303541992343639
1976,MD,"Ford, Gerald",republican,672661,1432273,0.46964580076563617
1976,MA,"Carter, Jimmy",democrat,1429475,2547558,0.5611157822510813
1976,MA,"Ford, Gerald",republican,1030276,2547558,0.40441709276098914
1976,MI,"Ford, Gerald",republican,1893742,3651590,0.518607510700818
1976,MI,"Carter, Jimmy",democrat,1696714,3651590,0.46465074118397737
1976,MN,"Carter, Jimmy",democrat,1070440,1949931,0.5489630145887213
1976,MN,"Ford, Gerald",republican,819395,1949931,0.4202174333348206
1976,MS,"Carter, Jimmy",democrat,381329,768390,0.4962701232447065
1976,MS,"Ford, Gerald",republican,366846,768390,0.4774216218326631
1976,MO,"Carter, Jimmy",democrat,998387,1953600,0.5110498566748567
1976,MO,"Ford, Gerald",republican,927443,1953600,0.47473536036036035
1976,MT,"Ford, Gerald",republican,173703,328734,0.5283998612860246
1976,MT,"Carter, Jimmy",democrat,149259,328734,0.4540418697183741
1976,NE,"Ford, Gerald",republican,359219,606749,0.5920388826351588
1976,NE,"Carter, Jimmy",democrat,233293,606749,0.38449671940126806
1976,NV,"Ford, Gerald",republican,101273,201876,0.5016594345043492
1976,NV,"Carter, Jimmy",democrat,92479,201876,0.4580980403812241
1976,NH,"Ford, Gerald",republican,185935,339627,0.5474682519352113
1976,NH,"Carter, Jimmy",democrat,147645,339627,0.43472692100451377
1976,NJ,"Ford, Gerald",republican,1509688,3014472,0.500813409446165
1976,NJ,"Carter, Jimmy",democrat,1444653,3014472,0.4792391503387658
1976,NM,"Ford, Gerald",republican,211419,416590,0.5074989798122854
1976,NM,"Carter, Jimmy",democrat,201148,416590,0.4828440433039679
1976,NY,"Carter, Jimmy",democrat,3244165,6668262,0.4865083285569763
1976,NY,"Ford, Gerald",republican,2825913,6668262,0.4237855381207277
1976,NC,"Carter, Jimmy",democrat,927365,1677906,0.5526918671248569
1976,NC,"Ford, Gerald",republican,741960,1677906,0.4421940204040036
1976,ND,"Ford, Gerald",republican,153684,297308,0.5169184818437446
1976,ND,"Carter, Jimmy",democrat,136078,297308,0.4577004318753616
1976,OH,"Carter, Jimmy",democrat,2009959,4110456,0.4889868666639419
1976,OH,"Ford, Gerald",republican,2000626,4110456,0.48671631565938184
1976,OK,"Ford, Gerald",republican,545708,1092251,0.4996177618514426
1976,OK,"Carter, Jimmy",democrat,532442,1092251,0.48747220190231
