year,state_po,candidate,party,electors
1976,AL,"Carter, Jimmy",democrat,5
1976,AL,"Ford, Gerald",republican,4
1976,AK,"Ford, Gerald",republican,2
1976,AK,"Carter, Jimmy",democrat,1
1976,AZ,"Ford, Gerald",republican,4
1976,AZ,"Carter, Jimmy",democrat,2
1976,AR,"Carter, Jimmy",democrat,4
1976,AR,"Ford, Gerald",republican,2
1976,CA,"Ford, Gerald",republican,23
1976,CA,"Carter, Jimmy",democrat,22
1976,CO,"Ford, Gerald",republican,4
1976,CO,"Carter, Jimmy",democrat,3
1976,CT,"Ford, Gerald",republican,4
1976,CT,"Carter, Jimmy",democrat,4
1976,DE,"Carter, Jimmy",democrat,2
1976,DE,"Ford, Gerald",republican,1
1976,DC,"Carter, Jimmy",democrat,3
1976,DC,"Ford, Gerald",republican,0
1976,FL,"Carter, Jimmy",democrat,9
1976,FL,"Ford, Gerald",republican,8
1976,GA,"Carter, Jimmy",democrat,8
1976,GA,"Ford, Gerald",republican,4
1976,HI,"Carter, Jimmy",democrat,2
1976,HI,"Ford, Gerald",republican,2
1976,ID,"Ford, Gerald",republican,3
1976,ID,"Carter, Jimmy",democrat,1
1976,IL,"Ford, Gerald",republican,13
1976,IL,"Carter, Jimmy",democrat,13
1976,IN,"Ford, Gerald",republican,7
1976,IN,"Carter, Jimmy",democrat,6
1976,IA,"Ford, Gerald",republican,4
1976,IA,"Carter, Jimmy",democrat,4
1976,KS,"Ford, Gerald",republican,4
1976,KS,"Carter, Jimmy",democrat,3
1976,KY,"Carter, Jimmy",democrat,5
1976,KY,"Ford, Gerald",republican,4
1976,LA,"Carter, Jimmy",democrat,5
1976,LA,"Ford, Gerald",republican,5
1976,ME,"Ford, Gerald",republican,2
1976,ME,"Carter, Jimmy",democrat,2
1976,MD,"Carter, Jimmy",democrat,5
1976,MD,"Ford, Gerald",republican,5
1976,MA,"Carter, Jimmy",democrat,8
1976,MA,"Ford, Gerald",republican,6
1976,MI,"Ford, Gerald",republican,11
1976,MI,"Carter, Jimmy",democrat,10
1976,MN,"Carter, Jimmy",democrat,6
1976,MN,"Ford, Gerald",republican,4
1976,MS,"Carter, Jimmy",democrat,4
1976,MS,"Ford, Gerald",republican,3
1976,MO,"Carter, Jimmy",democrat,6
1976,MO,"Ford, Gerald",republican,6
1976,MT,"Ford, Gerald",republican,2
1976,MT,"Carter, Jimmy",democrat,2
1976,NE,"Ford, Gerald",republican,3
1976,NE,"Carter, Jimmy",democrat,2
1976,NV,"Ford, Gerald",republican,2
1976,NV,"Carter, Jimmy",democrat,1
1976,NH,"Ford, Gerald",republican,2
1976,NH,"Carter, Jimmy",democrat,2
1976,NJ,"Ford, Gerald",republican,9
1976,NJ,"Carter, Jimmy",democrat,8
1976,NM,"Ford, Gerald",republican,2
1976,NM,"Carter, Jimmy",democrat,2
1976,NY,"Carter, Jimmy",democrat,22
1976,NY,"Ford, Gerald",republican,19
1976,NC,"Carter, Jimmy",democrat,7
1976,NC,"Ford, Gerald",republican,6
1976,ND,"Ford, Gerald",republican,2
1976,ND,"Carter, Jimmy",democrat,1
1976,OH,"Carter, Jimmy",democrat,13
1976,OH,"Ford, Gerald",republican,12
1976,OK,"Ford, Gerald",republican,4
1976,OK,"Carter, Jimmy",democrat,4
1976,OR,"Ford, Gerald",republican,3
1976,OR,"Carter, Jimmy",democrat,3
1976,PA,"Carter, Jimmy",democrat,14
1976,PA,"Ford, Gerald",republican,13
1976,RI,"Carter, Jimmy",democrat,2
1976,RI,"Ford, Gerald",republican,2
1976,SC,"Carter, Jimmy",democrat,5
1976,SC,"Ford, Gerald",republican,3
1976,SD,"Ford, Gerald",republican,2
1976,SD,"Carter, Jimmy",democrat,2
1976,TN,"Carter, Jimmy",democrat,6
1976,TN,"Ford, Gerald",republican,4
1976,TX,"Carter, Jimmy",democrat,13
1976,TX,"Ford, Gerald",republican,13
1976,UT,"Ford, Gerald",republican,3
1976,UT,"Carter, Jimmy",democrat,1
1976,VT,"Ford, Gerald",republican,2
1976,VT,"Carter, Jimmy",democrat,1
1976,VA,"Ford, Gerald",republican,6
1976,VA,"Carter, Jimmy",democrat,6
1976,WA,"Ford, Gerald",republican,5
1976,WA,"Carter, Jimmy",democrat,4
1976,WV,"Carter, Jimmy",democrat,4
1976,WV,"Ford, Gerald",republican,2
1976,WI,"Carter, Jimmy",democrat,6
1976,WI,"Ford, Gerald",republican,5
1976,WY,"Ford, Gerald",republican,2
1976,WY,"Carter, Jimmy",democrat,1
1980,AL,"Reagan, Ronald",republican,5
1980,AL,"Carter, Jimmy",democrat,4
1980,AK,"Reagan, Ronald",republican,2
1980,AK,"Carter, Jimmy",democrat,1
1980,AK,"Clark, Edward """"Ed""""",libertarian,0
1980,AZ,"Reagan, Ronald",republican,4
1980,AZ,"Carter, Jimmy",democrat,2
1980,AR,"Reagan, Ronald",republican,3
1980,AR,"Carter, Jimmy",democrat,3
1980,CA,"Reagan, Ronald",republican,27
1980,CA,"Carter, Jimmy",democrat,18
1980,CO,"Reagan, Ronald",republican,4
1980,CO,"Carter, Jimmy",democrat,2
1980,CO,"Anderson, John B.",national unity campaign,1
1980,CT,"Reagan, Ronald",republican,4
1980,CT,"Carter, Jimmy",democrat,3
1980,CT,"Anderson, John B.",anderson coalition,1
1980,DE,"Reagan, Ronald",republican,2
1980,DE,"Carter, Jimmy",democrat,1
1980,DC,"Carter, Jimmy",democrat,3
1980,DC,"Reagan, Ronald",republican,0
1980,FL,"Reagan, Ronald",republican,10
1980,FL,"Carter, Jimmy",democrat,7
1980,GA,"Carter, Jimmy",democrat,7
1980,GA,"Reagan, Ronald",republican,5
1980,HI,"Carter, Jimmy",democrat,2
1980,HI,"Reagan, Ronald",republican,2
1980,HI,"Anderson, John B.",independent,0
1980,ID,"Reagan, Ronald",republican,3
1980,ID,"Carter, Jimmy",democrat,1
1980,IL,"Reagan, Ronald",republican,14
1980,IL,"Carter, Jimmy",democrat,12
1980,IN,"Reagan, Ronald",republican,8
1980,IN,"Carter, Jimmy",democrat,5
1980,IA,"Reagan, Ronald",republican,5
1980,IA,"Carter, Jimmy",democrat,3
1980,KS,"Reagan, Ronald",republican,5
1980,KS,"Carter, Jimmy",democrat,2
1980,KY,"Reagan, Ronald",republican,5
1980,KY,"Carter, Jimmy",democrat,4
1980,LA,"Reagan, Ronald",republican,5
1980,LA,"Carter, Jimmy",democrat,5
1980,ME,"Reagan, Ronald",republican,2
1980,ME,"Carter, Jimmy",democrat,2
1980,ME,"Anderson, John B.",independent,0
1980,MD,"Carter, Jimmy",democrat,5
1980,MD,"Reagan, Ronald",republican,5
1980,MA,"Reagan, Ronald",republican,6
1980,MA,"Carter, Jimmy",democrat,6
1980,MA,"Anderson, John B.",independent,2
1980,MI,"Reagan, Ronald",republican,11
1980,MI,"Carter, Jimmy",democrat,10
1980,MN,"Carter, Jimmy",democrat,5
1980,MN,"Reagan, Ronald",republican,5
1980,MS,"Reagan, Ronald",republican,4
1980,MS,"Carter, Jimmy",democrat,3
1980,MO,"Reagan, Ronald",republican,6
1980,MO,"Carter, Jimmy",democrat,6
1980,MT,"Reagan, Ronald",republican,3
1980,MT,"Carter, Jimmy",democrat,1
1980,NE,"Reagan, Ronald",republican,4
1980,NE,"Carter, Jimmy",democrat,1
1980,NV,"Reagan, Ronald",republican,2
1980,NV,"Carter, Jimmy",democrat,1
1980,NH,"Reagan, Ronald",republican,3
1980,NH,"Carter, Jimmy",democrat,1
1980,NH,"Anderson, John B.",independent,0
1980,NJ,"Reagan, Ronald",republican,10
1980,NJ,"Carter, Jimmy",democrat,7
1980,NM,"Reagan, Ronald",republican,2
1980,NM,"Carter, Jimmy",democrat,2
1980,NY,"Carter, Jimmy",democrat,21
1980,NY,"Reagan, Ronald",republican,20
1980,NC,"Reagan, Ronald",republican,7
1980,NC,"Carter, Jimmy",democrat,6
1980,ND,"Reagan, Ronald",republican,2
1980,ND,"Carter, Jimmy",democrat,1
1980,OH,"Reagan, Ronald",republican,14
1980,OH,"Carter, Jimmy",democrat,11
1980,OK,"Reagan, Ronald",republican,5
1980,OK,"Carter, Jimmy",democrat,3
1980,OR,"Reagan, Ronald",republican,3
1980,OR,"Carter, Jimmy",democrat,3
1980,PA,"Reagan, Ronald",republican,15
1980,PA,"Carter, Jimmy",democrat,12
1980,RI,"Carter, Jimmy",democrat,2
1980,RI,"Reagan, Ronald",republican,2
1980,RI,"Anderson, John B.",independent,0
1980,SC,"Reagan, Ronald",republican,4
1980,SC,"Carter, Jimmy",democrat,4
1980,SD,"Reagan, Ronald",republican,3
1980,SD,"Carter, Jimmy",democrat,1
1980,TN,"Reagan, Ronald",republican,5
1980,TN,"Carter, Jimmy",democrat,5
1980,TX,"Reagan, Ronald",republican,15
1980,TX,"Carter, Jimmy",democrat,11
1980,UT,"Reagan, Ronald",republican,3
1980,UT,"Carter, Jimmy",democrat,1
1980,VT,"Reagan, Ronald",republican,2
1980,VT,"Carter, Jimmy",democrat,1
1980,VT,"Anderson, John B.",independent,0
1980,VA,"Reagan, Ronald",republican,7
1980,VA,"Carter, Jimmy",democrat,5
1980,WA,"Reagan, Ronald",republican,5
1980,WA,"Carter, Jimmy",democrat,3
1980,WA,"Anderson, John B.",independent,1
1980,WV,"Carter, Jimmy",democrat,3
1980,WV,"Reagan, Ronald",republican,3
1980,WI,"Reagan, Ronald",republican,6
1980,WI,"Carter, Jimmy",democrat,5
1980,WY,"Reagan, Ronald",republican,2
1980,WY,"Carter, Jimmy",democrat,1
1984,AL,"Reagan, Ronald",republican,6
1984,AL,"Mondale, Walter",democrat,3
1984,AK,"Reagan, Ronald",republican,2
1984,AK,"Mondale, Walter",democrat,1
1984,AZ,"Reagan, Ronald",republican,5
1984,AZ,"Mondale, Walter",democrat,2
1984,AR,"Reagan, Ronald",republican,4
1984,AR,"Mondale, Walter",democrat,2
1984,CA,"Reagan, Ronald",republican,27
1984,CA,"Mondale, Walter",democrat,20
1984,CO,"Reagan, Ronald",republican,5
1984,CO,"Mondale, Walter",democrat,3
1984,CT,"Reagan, Ronald",republican,5
1984,CT,"Mondale, Walter",democrat,3
1984,DE,"Reagan, Ronald",republican,2
1984,DE,"Mondale, Walter",democrat,1
1984,DC,"Mondale, Walter",democrat,3
1984,DC,"Reagan, Ronald",republican,0
1984,FL,"Reagan, Ronald",republican,14
1984,FL,"Mondale, Walter",democrat,7
1984,GA,"Reagan, Ronald",republican,7
1984,GA,"Mondale, Walter",democrat,5
1984,HI,"Reagan, Ronald",republican,2
1984,HI,"Mondale, Walter",democrat,2
1984,ID,"Reagan, Ronald",republican,3
1984,ID,"Mondale, Walter",democrat,1
1984,IL,"Reagan, Ronald",republican,14
1984,IL,"Mondale, Walter",democrat,10
1984,IN,"Reagan, Ronald",republican,8
1984,IN,"Mondale, Walter",democrat,4
1984,IA,"Reagan, Ronald",republican,4
1984,IA,"Mondale, Walter",democrat,4
1984,KS,"Reagan, Ronald",republican,5
1984,KS,"Mondale, Walter",democrat,2
1984,KY,"Reagan, Ronald",republican,6
1984,KY,"Mondale, Walter",democrat,3
1984,LA,"Reagan, Ronald",republican,6
1984,LA,"Mondale, Walter",democrat,4
1984,ME,"Reagan, Ronald",republican,3
1984,ME,"Mondale, Walter",democrat,1
1984,MD,"Reagan, Ronald",republican,5
1984,MD,"Mondale, Walter",democrat,5
1984,MA,"Reagan, Ronald",republican,7
1984,MA,"Mondale, Walter",democrat,6
1984,MI,"Reagan, Ronald",republican,12
1984,MI,"Mondale, Walter",democrat,8
1984,MN,"Mondale, Walter",democrat,5
1984,MN,"Reagan, Ronald",republican,5
1984,MS,"Reagan, Ronald",republican,4
1984,MS,"Mondale, Walter",democrat,3
1984,MO,"Reagan, Ronald",republican,7
1984,MO,"Mondale, Walter",democrat,4
1984,MT,"Reagan, Ronald",republican,3
1984,MT,"Mondale, Walter",democrat,1
1984,NE,"Reagan, Ronald",republican,4
1984,NE,"Mondale, Walter",democrat,1
1984,NV,"Reagan, Ronald",republican,3
1984,NV,"Mondale, Walter",democrat,1
1984,NH,"Reagan, Ronald",republican,3
1984,NH,"Mondale, Walter",democrat,1
1984,NJ,"Reagan, Ronald",republican,10
1984,NJ,"Mondale, Walter",democrat,6
1984,NM,"Reagan, Ronald",republican,3
1984,NM,"Mondale, Walter",democrat,2
1984,NY,"Reagan, Ronald",republican,19
1984,NY,"Mondale, Walter",democrat,17
1984,NC,"Reagan, Ronald",republican,8
1984,NC,"Mondale, Walter",democrat,5
1984,ND,"Reagan, Ronald",republican,2
1984,ND,"Mondale, Walter",democrat,1
1984,OH,"Reagan, Ronald",republican,14
1984,OH,"Mondale, Walter",democrat,9
1984,OK,"Reagan, Ronald",republican,6
1984,OK,"Mondale, Walter",democrat,2
1984,OR,"Reagan, Ronald",republican,4
1984,OR,"Mondale, Walter",democrat,3
1984,PA,"Reagan, Ronald",republican,13
1984,PA,"Mondale, Walter",democrat,12
1984,RI,"Reagan, Ronald",republican,2
1984,RI,"Mondale, Walter",democrat,2
1984,SC,"Reagan, Ronald",republican,5
1984,SC,"Mondale, Walter",democrat,3
1984,SD,"Reagan, Ronald",republican,2
1984,SD,"Mondale, Walter",democrat,1
1984,TN,"Reagan, Ronald",republican,6
1984,TN,"Mondale, Walter",democrat,5
1984,TX,"Reagan, Ronald",republican,19
1984,TX,"Mondale, Walter",democrat,10
1984,UT,"Reagan, Ronald",republican,4
1984,UT,"Mondale, Walter",democrat,1
1984,VT,"Reagan, Ronald",republican,2
1984,VT,"Mondale, Walter",democrat,1
1984,VA,"Reagan, Ronald",republican,8
1984,VA,"Mondale, Walter",democrat,4
1984,WA,"Reagan, Ronald",republican,6
1984,WA,"Mondale, Walter",democrat,4
1984,WV,"Reagan, Ronald",republican,3
1984,WV,"Mondale, Walter",democrat,3
1984,WI,"Reagan, Ronald",republican,6
1984,WI,"Mondale, Walter",democrat,5
1984,WY,"Reagan, Ronald",republican,2
1984,WY,"Mondale, Walter",democrat,1
1988,AL,"Bush, George H.W.",republican,5
1988,AL,"Dukakis, Michael",democrat,4
1988,AK,"Bush, George H.W.",republican,2
1988,AK,"Dukakis, Michael",democrat,1
1988,AZ,"Bush, George H.W.",republican,4
1988,AZ,"Dukakis, Michael",democrat,3
1988,AR,"Bush, George H.W.",republican,4
1988,AR,"Dukakis, Michael",democrat,2
1988,CA,"Bush, George H.W.",republican,24
1988,CA,"Dukakis, Michael",democrat,23
1988,CO,"Bush, George H.W.",republican,4
1988,CO,"Dukakis, Michael",democrat,4
1988,CT,"Bush, George H.W.",republican,4
1988,CT,"Dukakis, Michael",democrat,4
1988,DE,"Bush, George H.W.",republican,2
1988,DE,"Dukakis, Michael",democrat,1
1988,DC,"Dukakis, Michael",democrat,3
1988,DC,"Bush, George H.W.",republican,0
1988,FL,"Bush, George H.W.",republican,13
1988,FL,"Dukakis, Michael",democrat,8
1988,GA,"Bush, George H.W.",republican,7
1988,GA,"Dukakis, Michael",democrat,5
1988,HI,"Dukakis, Michael",democrat,2
1988,HI,"Bush, George H.W.",republican,2
1988,ID,"Bush, George H.W.",republican,3
1988,ID,"Dukakis, Michael",democrat,1
1988,IL,"Bush, George H.W.",republican,12
1988,IL,"Dukakis, Michael",democrat,12
1988,IN,"Bush, George H.W.",republican,7
1988,IN,"Dukakis, Michael",democrat,5
1988,IA,"Dukakis, Michael",democrat,4
1988,IA,"Bush, George H.W.",republican,4
1988,KS,"Bush, George H.W.",republican,4
1988,KS,"Dukakis, Michael",democrat,3
1988,KY,"Bush, George H.W.",republican,5
1988,KY,"Dukakis, Michael",democrat,4
1988,LA,"Bush, George H.W.",republican,6
1988,LA,"Dukakis, Michael",democrat,4
1988,ME,"Bush, George H.W.",republican,2
1988,ME,"Dukakis, Michael",democrat,2
1988,MD,"Bush, George H.W.",republican,5
1988,MD,"Dukakis, Michael",democrat,5
1988,MA,"Dukakis, Michael",democrat,7
1988,MA,"Bush, George H.W.",republican,6
1988,MI,"Bush, George H.W.",republican,11
1988,MI,"Dukakis, Michael",democrat,9
1988,MN,"Dukakis, Michael",democrat,5
1988,MN,"Bush, George H.W.",republican,5
1988,MS,"Bush, George H.W.",republican,4
1988,MS,"Dukakis, Michael",democrat,3
1988,MO,"Bush, George H.W.",republican,6
1988,MO,"Dukakis, Michael",democrat,5
1988,MT,"Bush, George H.W.",republican,2
1988,MT,"Dukakis, Michael",democrat,2
1988,NE,"Bush, George H.W.",republican,3
1988,NE,"Dukakis, Michael",democrat,2
1988,NV,"Bush, George H.W.",republican,3
1988,NV,"Dukakis, Michael",democrat,1
1988,NH,"Bush, George H.W.",republican,3
1988,NH,"Dukakis, Michael",democrat,1
1988,NJ,"Bush, George H.W.",republican,9
1988,NJ,"Dukakis, Michael",democrat,7
1988,NM,"Bush, George H.W.",republican,3
1988,NM,"Dukakis, Michael",democrat,2
1988,NY,"Dukakis, Michael",democrat,19
1988,NY,"Bush, George H.W.",republican,17
1988,NC,"Bush, George H.W.",republican,8
1988,NC,"Dukakis, Michael",democrat,5
1988,ND,"Bush, George H.W.",republican,2
1988,ND,"Dukakis, Michael",democrat,1
1988,OH,"Bush, George H.W.",republican,13
1988,OH,"Dukakis, Michael",democrat,10
1988,OK,"Bush, George H.W.",republican,5
1988,OK,"Dukakis, Michael",democrat,3
1988,OR,"Dukakis, Michael",democrat,4
1988,OR,"Bush, George H.W.",republican,3
1988,PA,"Bush, George H.W.",republican,13
1988,PA,"Dukakis, Michael",democrat,12
1988,RI,"Dukakis, Michael",democrat,2
1988,RI,"Bush, George H.W.",republican,2
1988,SC,"Bush, George H.W.",republican,5
1988,SC,"Dukakis, Michael",democrat,3
1988,SD,"Bush, George H.W.",republican,2
1988,SD,"Dukakis, Michael",democrat,1
1988,TN,"Bush, George H.W.",republican,6
1988,TN,"Dukakis, Michael",democrat,5
1988,TX,"Bush, George H.W.",republican,16
1988,TX,"Dukakis, Michael",democrat,13
1988,UT,"Bush, George H.W.",republican,4
1988,UT,"Dukakis, Michael",democrat,1
1988,VT,"Bush, George H.W.",republican,2
1988,VT,"Dukakis, Michael",democrat,1
