year,name,electors
2016,AL,9
2016,AK,3
2016,AZ,11
2016,AR,6
2016,CA,55
2016,CO,9
2016,CT,7
2016,DC,3
2016,DE,3
2016,FL,29
2016,GA,16
2016,HI,4
2016,ID,4
2016,IL,20
2016,IN,11
2016,IA,6
2016,KS,6
2016,KY,8
2016,LA,8
2016,ME,4
2016,MD,10
2016,MA,11
2016,MI,16
2016,MN,10
2016,MS,6
2016,MO,10
2016,MT,3
2016,NE,5
2016,NV,6
2016,NH,4
2016,NJ,14
2016,NM,5
2016,NY,29
2016,NC,15
2016,ND,3
2016,OH,18
2016,OK,7
2016,OR,7
2016,PA,20
2016,RI,4
2016,SC,9
2016,SD,3
2016,TN,11
2016,TX,38
2016,UT,6
2016,VT,3
2016,VA,13
2016,WA,12
2016,WV,5
2016,WI,10
2016,WY,3
2012,AL,9
2012,AK,3
2012,AZ,11
2012,AR,6
2012,CA,55
2012,CO,9
2012,CT,7
2012,DC,3
2012,DE,3
2012,FL,29
2012,GA,16
2012,HI,4
2012,ID,4
2012,IL,20
2012,IN,11
2012,IA,6
2012,KS,6
2012,KY,8
2012,LA,8
2012,ME,4
2012,MD,10
2012,MA,11
2012,MI,16
2012,MN,10
2012,MS,6
2012,MO,10
2012,MT,3
2012,NE,5
2012,NV,6
2012,NH,4
2012,NJ,14
2012,NM,5
2012,NY,29
2012,NC,15
2012,ND,3
2012,OH,18
2012,OK,7
2012,OR,7
2012,PA,20
2012,RI,4
2012,SC,9
2012,SD,3
2012,TN,11
2012,TX,38
2012,UT,6
2012,VT,3
2012,VA,13
2012,WA,12
2012,WV,5
2012,WI,10
2012,WY,3
2008,AL,9
2008,AK,3
2008,AZ,10
2008,AR,6
2008,CA,55
2008,CO,9
2008,CT,7
2008,DC,3
2008,DE,3
2008,FL,27
2008,GA,15
2008,HI,4
2008,ID,4
2008,IL,21
2008,IN,11
2008,IA,7
2008,KS,6
2008,KY,8
2008,LA,9
2008,ME,4
2008,MD,10
2008,MA,12
2008,MI,17
2008,MN,10
2008,MS,6
2008,MO,11
2008,MT,3
2008,NE,5
2008,NV,5
2008,NH,4
2008,NJ,15
2008,NM,5
2008,NY,31
2008,NC,15
2008,ND,3
2008,OH,20
2008,OK,7
2008,OR,7
2008,PA,21
2008,RI,4
2008,SC,8
2008,SD,3
2008,TN,11
2008,TX,34
2008,UT,5
2008,VT,3
2008,VA,13
2008,WA,11
2008,WV,5
2008,WI,10
2008,WY,3
2004,AL,9
2004,AK,3
2004,AZ,10
2004,AR,6
2004,CA,55
2004,CO,9
2004,CT,7
2004,DC,3
2004,DE,3
2004,FL,27
2004,GA,15
2004,HI,4
2004,ID,4
2004,IL,21
2004,IN,11
2004,IA,7
2004,KS,6
2004,KY,8
2004,LA,9
2004,ME,4
2004,MD,10
2004,MA,12
2004,MI,17
2004,MN,10
2004,MS,6
2004,MO,11
2004,MT,3
2004,NE,5
2004,NV,5
2004,NH,4
2004,NJ,15
2004,NM,5
2004,NY,31
2004,NC,15
2004,ND,3
2004,OH,20
2004,OK,7
2004,OR,7
2004,PA,21
2004,RI,4
2004,SC,8
2004,SD,3
2004,TN,11
2004,TX,34
2004,UT,5
2004,VT,3
2004,VA,13
2004,WA,11
2004,WV,5
2004,WI,10
2004,WY,3
2000,AL,9
2000,AK,3
2000,AZ,8
2000,AR,6
2000,CA,54
2000,CO,8
2000,CT,8
2000,DC,3
2000,DE,3
2000,FL,25
2000,GA,13
2000,HI,4
2000,ID,4
2000,IL,22
2000,IN,12
2000,IA,7
2000,KS,6
2000,KY,8
2000,LA,9
2000,ME,4
2000,MD,10
2000,MA,12
2000,MI,18
2000,MN,10
2000,MS,7
2000,MO,11
2000,MT,3
2000,NE,5
2000,NV,4
2000,NH,4
2000,NJ,15
2000,NM,5
2000,NY,33
2000,NC,14
2000,ND,3
2000,OH,21
2000,OK,8
2000,OR,7
2000,PA,23
2000,RI,4
2000,SC,8
2000,SD,3
2000,TN,11
2000,TX,32
2000,UT,5
2000,VT,3
2000,VA,13
2000,WA,11
2000,WV,5
2000,WI,11
2000,WY,3
1996,AL,9
1996,AK,3
1996,AZ,8
1996,AR,6
